id,highway,name,lat,lon
23006233,tertiary,Unnamed Road,0,0
23012485,primary,Lehtrar Road,0,0
23012486,primary,Lehtrar Road,0,0
23012493,primary,Lehtrar Road,0,0
23012494,primary,Lehtrar Road,0,0
23012519,secondary,پارک روڈ,0,0
23012592,primary,Lehtrar Road,0,0
23012593,primary,Lehtrar Road,0,0
23012643,primary,Kotli Sattian Road,0,0
23012644,primary,Lehtrar Road,0,0
23013588,tertiary,Kashmir Road (Dalhousie Road),0,0
23013611,tertiary,تھانہ روڈ,0,0
23013642,tertiary,Raja Akram Road (Moorsom Road),0,0
23013649,tertiary,بازار روڈ,0,0
23013669,tertiary,Lane 4,0,0
23013694,tertiary,ریلوے روڈ,0,0
23013695,secondary,Unnamed Road,0,0
23013697,tertiary,City Saddar Road,0,0
23013698,tertiary,City Saddar Road,0,0
23013702,tertiary,City Saddar Road,0,0
23013722,tertiary,Bohar Bazaar,0,0
23013731,tertiary,Hamilton Road,0,0
23013759,secondary,Asghar Mall Road,0,0
23013762,tertiary,Saidpur Road,0,0
23013881,tertiary,Chaudhary Wilayat Khan Road,0,0
23013886,tertiary,Unnamed Road,0,0
23013893,tertiary,Hafeez Road,0,0
23013908,tertiary,سرکلر روڈ,0,0
23013991,secondary,Service Road South G10,0,0
23013992,secondary,Service Road South G10,0,0
23018546,tertiary,Tulsa Road,0,0
23018579,primary,Adiala Road,0,0
23018580,primary,Adiala Road,0,0
23019988,tertiary,اسٹریٹ 31,0,0
23020012,tertiary,Unnamed Road,0,0
23020512,tertiary,اسٹریٹ 11,0,0
23033784,secondary,Service Road North I-10,0,0
23033785,secondary,Service Road North I-10,0,0
23033790,tertiary,Kurang Road,0,0
23033791,tertiary,Kurang Road,0,0
23033793,tertiary,Sohni Road,0,0
23033794,tertiary,Sohni Road,0,0
23033798,secondary,Service Road East I-10,0,0
23033799,secondary,Service Road East I-10,0,0
23033820,secondary,Service Road South I-10,0,0
23033822,secondary,Service Road South I-10,0,0
23038492,tertiary,Dhamial Road,0,0
23040144,tertiary,Pitras Bukhari Road,0,0
23040251,secondary,فیض احمد فیض روڈ,0,0
23040275,secondary,فیض احمد فیض روڈ,0,0
23040308,secondary,فیض احمد فیض روڈ,0,0
23040652,tertiary,Unnamed Road,0,0
23040656,tertiary,روڈ 1,0,0
23040679,tertiary,اسٹریٹ 4,0,0
23040700,tertiary,روڈ 4,0,0
23040717,tertiary,Unnamed Road,0,0
23042811,tertiary,اصفہانی روڈ,0,0
23044633,tertiary,اسٹریٹ 24,0,0
23046323,tertiary,Bella Road,0,0
23049022,tertiary,3 AK Brohi Rd,0,0
23049185,tertiary,China Road,0,0
23052111,tertiary,Chambeli Road,0,0
23055458,secondary,Chakra Road,0,0
23055640,secondary,Hali Road,0,0
23055641,secondary,Hali Road,0,0
23055778,tertiary,Atta-ul-Haq Road (Alexander Road),0,0
23055788,tertiary,Aibak Road (Martin Road),0,0
23055894,secondary,Misrial Road,0,0
23056048,secondary,Golra Road,0,0
23068697,secondary,Kurri Road,0,0
23068747,primary,Sadiqabad Road,0,0
23069176,secondary,Service Road South I-10,0,0
23069186,tertiary,Unnamed Road,0,0
23069187,tertiary,Unnamed Road,0,0
23069524,secondary,Najam Shaheed Road (Haripur Road),0,0
23069575,tertiary,کناٹ روڈ,0,0
23069605,tertiary,اسٹیفنسن روڈ,0,0
23069606,tertiary,Unnamed Road,0,0
23069607,tertiary,Unnamed Road,0,0
23069750,primary,Unnamed Road,0,0
23069862,tertiary,Service Road East I-11,0,0
23069863,secondary,Railway Carriage Factory Road,0,0
23070447,primary,مری روڈ,0,0
23070485,primary,Unnamed Road,0,0
23070631,tertiary,Bank Road,0,0
23070766,secondary,Tulsa Road,0,0
23070767,secondary,Tulsa Road,0,0
23074157,tertiary,اسٹریٹ 38,0,0
23074179,tertiary,اسٹریٹ 32,0,0
23083508,secondary,پارک روڈ,0,0
23083510,secondary,پارک روڈ,0,0
23083511,secondary,پارک روڈ,0,0
23083512,secondary,پارک روڈ,0,0
23111001,tertiary,Khayaban-e-Roomi,0,0
23111068,tertiary,خیابان اقبال,0,0
23130600,tertiary,Ch. Bostan Khan Road,0,0
23130679,tertiary,William's Avenue,0,0
23130710,tertiary,Staff Road (McMohan Road),0,0
23130723,tertiary,Rafique Road (Connaught Road),0,0
23130840,secondary,Unnamed Road,0,0
23130912,tertiary,ملت کالونی روڈ,0,0
23130966,secondary,Raja Bazar,0,0
23130990,tertiary,گارڈن روڈ,0,0
23131119,secondary,Unnamed Road,0,0
23153314,tertiary,سروس روڈ,0,0
23155280,tertiary,Khayaban e Ghalib,0,0
23155438,primary,Agha Shahi (9th) Avenue,0,0
23198369,secondary,Service Road East H-9,0,0
23219852,primary,Bahawalpur Road,0,0
23227542,primary,Unnamed Road,0,0
23227743,primary,Muzaffargarh Road,0,0
23243442,primary,Unnamed Road,0,0
23243449,primary,Unnamed Road,0,0
23250751,primary,Military Road,0,0
23250903,secondary,Unnamed Road,0,0
23250912,tertiary,Unnamed Road,0,0
23251016,tertiary,Unnamed Road,0,0
23251150,secondary,Unnamed Road,0,0
23251288,primary,Shikarpur Road,0,0
23262545,primary,Unnamed Road,0,0
23262568,secondary,Unnamed Road,0,0
23262634,tertiary,Wari Tar Road,0,0
23262640,tertiary,Shikarpur Road,0,0
23262663,tertiary,Cinema Road,0,0
23262770,tertiary,Unnamed Road,0,0
23263991,secondary,Masoom Shah Minara Road,0,0
23263994,secondary,Unnamed Road,0,0
23264065,secondary,Unnamed Road,0,0
23264066,secondary,ایئرپورٹ روڈ,0,0
23273053,secondary,Garhi Yasin Road,0,0
