id,waterway,name,lat,lon
71293477,river,Unnamed Waterway,0,0
71293478,river,Hingol River,0,0
71293483,river,Unnamed Waterway,0,0
71293486,river,Unnamed Waterway,0,0
71293488,river,Unnamed Waterway,0,0
71294818,river,Unnamed Waterway,0,0
71294835,river,Korakan River,0,0
71294837,river,Unnamed Waterway,0,0
71294838,river,Unnamed Waterway,0,0
71298116,river,دریائے گومل,0,0
71298120,river,Unnamed Waterway,0,0
71298121,stream,Unnamed Waterway,0,0
71298124,river,Kingri River,0,0
71378400,river,Jindi River,0,0
71380019,stream,Unnamed Waterway,0,0
71381258,river,Unnamed Waterway,0,0
71385598,stream,Unnamed Waterway,0,0
71403128,canal,Unnamed Waterway,0,0
71403194,canal,Unnamed Waterway,0,0
71403291,canal,Unnamed Waterway,0,0
71403293,canal,Unnamed Waterway,0,0
71403607,canal,Unnamed Waterway,0,0
71404746,canal,Patni Distributary,0,0
71404889,canal,Unnamed Waterway,0,0
71422733,river,ناڑی گاج,0,0
71431919,canal,Unnamed Waterway,0,0
71431966,canal,Unnamed Waterway,0,0
71432008,canal,Unnamed Waterway,0,0
71433287,canal,Unnamed Waterway,0,0
71575878,canal,Unnamed Waterway,0,0
71575886,river,Unnamed Waterway,0,0
71575891,canal,Unnamed Waterway,0,0
71575895,canal,Hazaro Wah,0,0
71575900,canal,Unnamed Waterway,0,0
71575907,canal,Unnamed Waterway,0,0
71575915,river,Unnamed Waterway,0,0
71579505,stream,Unnamed Waterway,0,0
71579561,canal,Unnamed Waterway,0,0
71582588,canal,Unnamed Waterway,0,0
71582594,canal,Unnamed Waterway,0,0
71582596,canal,Unnamed Waterway,0,0
71582600,canal,Unnamed Waterway,0,0
71582610,canal,Unnamed Waterway,0,0
71582637,canal,Unnamed Waterway,0,0
71582647,canal,Unnamed Waterway,0,0
71583755,canal,Lower Swat Canal,0,0
71583802,canal,Lower Swat Canal,0,0
71586706,canal,Unnamed Waterway,0,0
71586720,canal,Unnamed Waterway,0,0
